0 1 2
2 3 0
0 3 4
5 0 6
6 0 4
1 0 5
1 7 8
7 1 5
2 1 8
3 9 10
9 3 2
11 7 5
11 5 12
4 3 10
11 13 7
5 6 12
4 10 6
14 2 8
8 7 14
14 7 15
9 2 16
15 7 13
12 6 17
14 16 2
10 17 6
16 14 18
13 11 12
14 15 19
9 16 18
9 18 20
13 21 22
12 17 21
15 13 22
19 15 22
19 18 14
21 13 12
17 10 23
9 23 10
19 24 18
25 19 22
23 9 26
27 17 23
28 21 17
20 18 24
27 23 29
23 26 29
26 9 20
28 17 27
27 29 30
22 28 31
25 22 31
28 22 21
19 25 32
24 19 32
26 20 33
20 24 33
25 31 34
28 27 35
31 28 35
36 25 34
35 27 30
34 31 37
25 36 32
38 29 26
32 33 24
30 29 38
33 32 39
38 26 33
30 38 40
30 40 35
35 40 37
38 41 40
31 35 37
32 36 42
36 43 42
43 36 34
44 43 34
34 37 44
38 33 39
41 38 45
46 47 48
47 46 49
32 42 39
45 38 39
48 47 50
44 37 51
50 47 49
52 46 53
46 48 53
49 46 54
41 37 40
39 42 55
56 43 44
57 37 41
54 46 52
51 37 57
50 49 58
56 44 59
57 41 60
48 50 61
60 41 45
44 51 62
61 50 63
53 48 61
53 61 64
65 39 55
65 45 39
54 52 66
42 43 56
53 67 52
44 62 59
56 59 68
58 49 54
60 45 69
65 69 45
42 56 68
70 61 63
71 72 73
66 52 67
66 67 74
54 66 75
71 76 77
77 76 78
76 71 73
51 57 79
63 50 58
58 54 75
55 42 68
61 80 64
70 80 61
76 73 81
60 79 57
71 77 82
62 51 83
77 78 82
84 55 68
68 59 85
68 70 63
70 68 86
68 63 84
67 53 64
67 64 74
84 63 58
86 68 85
66 74 75
55 84 87
59 62 88
55 87 65
80 70 86
79 60 89
72 71 82
83 51 79
79 90 83
87 91 65
81 92 76
91 69 65
78 76 92
93 84 58
69 91 94
64 80 95
75 96 58
81 73 97
98 84 93
87 84 98
83 88 62
80 86 99
90 79 89
89 60 69
72 100 73
75 74 101
83 90 102
59 88 85
93 58 96
97 103 81
104 78 92
74 64 95
82 78 104
91 87 98
93 96 105
97 73 100
96 75 101
88 83 102
101 74 95
89 106 90
89 69 94
100 72 82
82 107 100
91 108 94
95 80 109
80 99 109
98 93 105
103 110 92
92 81 103
104 92 110
89 111 106
111 89 94
99 86 112
85 88 113
108 91 98
97 114 103
107 82 104
112 86 85
101 95 109
108 98 115
112 85 113
88 102 116
88 116 113
98 105 117
107 118 100
110 103 114
96 101 109
100 118 114
111 94 119
104 110 120
114 97 100
119 94 108
119 108 115
107 104 121
102 90 106
122 110 114
106 123 102
114 124 122
125 104 120
104 125 121
116 102 123
109 99 126
115 98 127
107 128 118
128 107 121
129 119 130
96 109 131
96 132 105
133 110 122
120 110 133
134 106 111
115 130 119
117 127 98
124 114 118
109 126 131
115 127 135
111 119 136
137 129 130
116 123 138
99 112 126
117 105 132
132 96 131
128 121 139
129 137 140
136 119 129
120 133 141
124 142 122
122 143 133
121 125 139
130 144 137
145 140 137
123 106 134
143 145 133
124 118 146
141 133 145
140 147 129
145 137 148
136 129 147
143 147 140
143 140 145
141 125 120
111 136 134
148 149 145
145 149 141
130 115 135
130 135 144
125 141 150
131 126 151
136 152 153
154 112 113
137 144 148
143 122 142
142 124 146
117 132 155
154 113 116
154 116 138
147 143 142
118 128 156
148 157 149
136 147 152
148 144 158
128 139 156
149 157 159
160 132 131
134 136 153
156 139 161
146 118 156
146 162 142
155 163 117
127 117 164
134 153 123
161 139 125
126 112 154
149 150 141
149 159 150
132 165 155
160 166 132
167 147 142
150 161 125
164 135 127
164 168 135
162 169 142
146 156 162
156 161 170
152 147 167
150 159 171
160 131 151
157 148 158
172 150 171
165 132 166
153 152 173
174 126 154
117 163 164
169 167 142
175 138 123
176 138 175
170 162 156
144 135 177
144 177 158
178 157 158
170 161 179
159 157 178
175 123 153
176 154 138
162 170 169
177 135 168
173 152 180
172 161 150
179 161 172
160 151 181
151 126 182
151 182 181
183 154 176
126 174 182
175 173 184
173 175 153
179 169 170
165 185 163
171 159 186
177 168 187
163 155 165
172 188 179
158 189 178
169 179 188
189 158 177
183 174 154
190 188 172
159 178 186
167 169 191
152 191 180
